ID;date;species;simp_species;simp_confidence_index;confidence_index;success;manual_check
HC8006;20150928;Rhihip;Rhihip;0.8;0.764;1;Rhihip
HA6003;20151007;Rhihip;Rhihip;0.8;0.766;1;Rhihip
HC5001;20150910;Rhihip;Rhihip;0.8;0.766;1;Rhihip
HC4009;20150925;Rhihip;Rhihip;0.8;0.766;1;Rhihip
HB10002;20150923;Barbar;Barbar;0.8;0.768;1;Barbar
HA8001;20150921;Pippip;Pippip;0.8;0.768;1;Pippip
HB10007;20151009;Pippip;Pippip;0.8;0.768;1;Pippip
HB10001;20150919;Pleaus;Plesp;0.8;0.768;1;Plesp
HC4007;20150918;Rhifer;Rhifer;0.8;0.768;1;Rhifer
HB1001;20150907;Rhihip;Rhihip;0.8;0.768;1;Rhihip
HC8004;20150924;Eptser;Eptser;0.8;0.77;1;Eptser
TEB501;20150913;Rhifer;Rhifer;0.8;0.77;1;Rhifer
HC8005;20150925;Rhihip;Rhihip;0.8;0.77;1;Rhihip
HC6003;20150918;Barbar;Barbar;0.8;0.772;1;Barbar
HC251;20150925;Myonat;Myosp;0.8;0.772;1;Myosp
HC253;20150925;Pipkuh;Pipkuh;0.8;0.772;1;Pipkuh
HB1001;20150907;Pipnat;Pipnat;0.8;0.772;1;Pipnat
TEB254;20150923;Pippip;Pippip;0.8;0.772;1;Pippip
TEB501;20150913;Rhifer;Rhifer;0.8;0.772;1;Rhifer
TEB501;20150913;Rhifer;Rhifer;0.8;0.772;1;Rhifer
HA5001;20150922;Barbar;Barbar;0.8;0.774;1;Barbar
HA5002;20150922;Barbar;Barbar;0.8;0.774;1;Barbar
HB6004;20150919;Barbar;Barbar;0.8;0.774;1;Barbar
EA501;20150922;Myonat;Myosp;0.8;0.774;1;Myosp
HB8003;20150922;Pipkuh;Pipkuh;0.8;0.774;1;Pipkuh
HB4001;20150908;Pipkuh;Pipkuh;0.8;0.776;1;Pipkuh
TEB253;20150919;Pleaus;Plesp;0.8;0.776;1;Plesp
HB9006;20151005;Rhihip;Rhihip;0.8;0.776;1;Rhihip
HC10009;20151004;Rhihip;Rhihip;0.8;0.776;1;Rhihip
HC9002;20150917;Barbar;Barbar;0.8;0.778;1;Barbar
HC8004;20150924;Eptser;Eptser;0.8;0.778;1;Eptser
HC253;20150925;Pipkuh;Pipkuh;0.8;0.778;1;Pipkuh
HB10006;20151006;Pippip;Pippip;0.8;0.778;1;Pippip
HC1008;20150926;Rhihip;Rhihip;0.8;0.778;1;Rhihip
HB8006;20151005;Pippip;Pippip;0.8;0.78;1;Pippip
HC3009;20151004;Pippip;Pippip;0.8;0.78;1;Pippip
HC3002;20150914;Pleaus;Plesp;0.8;0.78;1;Plesp
HB6008;20151009;Rhifer;Rhifer;0.8;0.78;1;Rhifer
EB506;20151008;Pipnat;Pipnat;0.8;0.782;1;Pipnat
HB8005;20151002;Pleaus;Plesp;0.8;0.782;1;Plesp
TEB501;20150913;Rhifer;Rhifer;0.8;0.782;1;Rhifer
HA6003;20151007;Rhihip;Rhihip;0.8;0.782;1;Rhihip
HB8003;20150922;Rhihip;Rhihip;0.8;0.782;1;Rhihip
HA8001;20150921;Pleaus;Plesp;0.8;0.784;1;Plesp
TEB501;20150913;Rhifer;Rhifer;0.8;0.784;1;Rhifer
HA6003;20151007;Rhihip;Rhihip;0.8;0.784;1;Rhihip
HA6003;20151007;Rhihip;Rhihip;0.8;0.784;1;Rhihip
EC2001;20150913;Pipkuh;Pipkuh;0.8;0.786;1;Pipkuh
HB6001;20150907;Rhifer;Rhifer;0.8;0.786;1;Rhifer
HA6003;20151007;Rhihip;Rhihip;0.8;0.786;1;Rhihip
HA9001;20150922;Eptser;Eptser;0.8;0.788;1;Eptser
TEB501;20150913;Rhifer;Rhifer;0.8;0.788;1;Rhifer
HA6003;20151007;Rhihip;Rhihip;0.8;0.788;1;Rhihip
HC5001;20150909;Rhihip;Rhihip;0.8;0.788;1;Rhihip
TEB501;20150913;Rhifer;Rhifer;0.8;0.79;1;Rhifer
HB256;20151009;Rhifer;Rhifer;0.8;0.79;1;Rhifer
HB4002;20150908;Rhihip;Rhihip;0.8;0.79;1;Rhihip
HC2009;20150927;Rhihip;Rhihip;0.8;0.79;1;Rhihip
HC4009;20150925;Rhihip;Rhihip;0.8;0.79;1;Rhihip
HC8004;20150924;Eptser;Eptser;0.8;0.792;1;Eptser
HB4001;20150908;Pipkuh;Pipkuh;0.8;0.792;1;Pipkuh
HC7002;20150917;Pleaus;Plesp;0.8;0.792;1;Plesp
HA251;20151007;Rhihip;Rhihip;0.8;0.792;1;Rhihip
HB9001;20150909;Myomys;Myosp;0.8;0.794;1;Myosp
HC252;20150924;Pipkuh;Pipkuh;0.8;0.794;1;Pipkuh
HC6005;20150928;Pippip;Pippip;0.8;0.794;1;Pippip
HB1007;20151001;Myonat;Myosp;0.8;0.796;1;Myosp
HC251;20150924;Pippip;Pippip;0.8;0.796;1;Pippip
HB3004;20150918;Rhifer;Rhifer;0.8;0.796;1;Rhifer
HB6004;20150919;Barbar;Barbar;0.8;0.798;1;Barbar
HC252;20150924;Eptser;Eptser;0.8;0.798;1;Eptser
HC10001;20150925;Rhihip;Rhihip;0.8;0.798;1;Rhihip
HC3003;20150913;Eptser;Eptser;0.8;0.8;1;Eptser
HC3005;20150917;Nycnoc;Nycnoc;0.8;0.8;1;Nycnoc
HB509;20151005;Pippip;Pippip;0.8;0.8;1;Pippip
HB251;20150907;Pippip;Pippip;0.8;0.8;1;Pippip
HA6003;20151006;Rhihip;Rhihip;0.8;0.8;1;Rhihip
HC8008;20151004;Barbar;Barbar;0.9;0.802;1;Barbar
HC3003;20150914;Eptser;Eptser;0.9;0.802;1;Eptser
TEA501;20150921;Pipnat;Pipnat;0.9;0.802;1;Pipnat
HC1001;20150910;Pleaus;Plesp;0.9;0.802;1;Plesp
HC3003;20150914;Eptser;Eptser;0.9;0.804;1;Eptser
HC251;20150925;Myonat;Myosp;0.9;0.804;1;Myosp
EB253;20150919;Pipkuh;Pipkuh;0.9;0.804;1;Pipkuh
TEB259;20151008;Pipnat;Pipnat;0.9;0.804;1;Pipnat
HC5004;20150917;Pleaus;Plesp;0.9;0.804;1;Plesp
HA10001;20150921;Myonat;Myosp;0.9;0.806;1;Myosp
HC10007;20150927;Pipkuh;Pipkuh;0.9;0.806;1;Pipkuh
EB506;20151008;Pipnat;Pipnat;0.9;0.806;1;Pipnat
HB10005;20151001;Pippip;Pippip;0.9;0.806;1;Pippip
HB256;20151009;Barbar;Barbar;0.9;0.808;1;Barbar
HA10001;20150922;Eptser;Eptser;0.9;0.808;1;Eptser
HB6001;20150907;Eptser;Eptser;0.9;0.808;1;Eptser
HB10005;20151001;Myonat;Myosp;0.9;0.808;1;Myosp
HB509;20151005;Pipkuh;Pipkuh;0.9;0.808;1;Pipkuh
HC2005;20150917;Pipkuh;Pipkuh;0.9;0.808;1;Pipkuh
HC1001;20150909;Pipkuh;Pipkuh;0.9;0.808;1;Pipkuh
HC10007;20150927;Pipkuh;Pipkuh;0.9;0.808;1;Pipkuh
HB10002;20150923;Pipkuh;Pipkuh;0.9;0.808;1;Pipkuh
HB5003;20150919;Pleaus;Plesp;0.9;0.808;1;Plesp
HC10009;20151005;Rhihip;Rhihip;0.9;0.808;1;Rhihip
HA6003;20151007;Rhihip;Rhihip;0.9;0.808;1;Rhihip
HC8004;20150924;Eptser;Eptser;0.9;0.81;1;Eptser
HC3003;20150913;Myomys;Myosp;0.9;0.81;1;Myosp
HB1003;20150908;Pipkuh;Pipkuh;0.9;0.81;1;Pipkuh
HC10007;20150927;Pipkuh;Pipkuh;0.9;0.81;1;Pipkuh
HA5001;20150922;Pleaus;Plesp;0.9;0.81;1;Plesp
HA7001;20150921;Pleaus;Plesp;0.9;0.81;1;Plesp
HB5003;20150919;Pleaus;Plesp;0.9;0.81;1;Plesp
HC8005;20150926;Rhihip;Rhihip;0.9;0.81;1;Rhihip
HB7004;20150929;Barbar;Barbar;0.9;0.812;1;Barbar
HB256;20151009;Myomys;Myosp;0.9;0.812;1;Myosp
HB8003;20150922;Pipkuh;Pipkuh;0.9;0.812;1;Pipkuh
