ID;date;distforest;disturban;distwetland;x93;y93;hedgerowlength;edgetype
HC6006;20150928;176.85878;102.0227843;662.5973472;2.749283568;67.95676043;1619.901577;edge
HC7002;20150916;1177.942504;89.48643145;522.0178252;3.767869147;67.11150511;583.2706155;edge
HC7006;20150927;898.4045966;444.872727;102.6752697;2.585771132;67.9903826;3135.000609;edge
HC8001;20150913;1047.623713;149.3306887;1001.67123;4.300085256;66.84322863;4904.237007;edge
HC8003;20150924;728.9493177;37.5080317;676.3323237;2.677948614;67.76656456;4518.803208;edge
HC8004;20150924;727.2914063;122.280856;42.99161947;2.694942127;67.75590828;4494.117531;edge
HC8008;20151004;844.3207266;202.0406441;480.3960972;3.0062669;68.26849936;753.710523;edge
HC9001;20150909;521.3589605;163.2849624;987.9714805;4.119529563;66.87021568;3537.033561;edge
HC9003;20150917;2530.56619;320.6536207;318.2832084;3.839728658;67.1595842;2028.943078;edge
HC9004;20150924;589.2062872;218.6417179;423.7885698;2.675036379;67.76523663;5871.737447;edge
HC9005;20150925;206.7493485;574.0421003;82.36899578;2.718111812;67.78238135;2103.572983;edge
HC9006;20150926;165.9641045;186.2180803;176.7722957;2.574013724;67.98273224;3148.691819;edge
HC9007;20150927;540.8437198;378.5917597;264.3710406;2.585807288;67.98616545;3542.611145;edge
HC9009;20151004;286.1226165;127.1998093;25.71377346;3.001964288;68.26142914;1885.986652;edge
HB10006;20151005;579.2904126;311.1458688;381.2210945;2.926242081;68.39080581;5414.376209;edge
HC3002;20150913;568.9922656;317.3355529;340.5599496;4.311725758;66.84795729;5620.161306;edge
HC4007;20150917;1679.415801;134.8502914;132.7655933;3.831030821;67.15853669;3494.431521;edge
HC7003;20150916;1381.292856;264.9345703;551.5493869;3.762392289;67.09889576;2790.656042;edge
HB6001;20150907;568.8539296;514.7512131;577.560601;4.041936558;66.92169959;1303.869274;edge
HA8003;20151006;553.1506583;190.9928717;170.1566438;3.523348768;68.24896257;4791.9808;edge
HB1002;20150908;492.8094796;563.6295975;393.7037117;4.056080412;66.93247243;4079.765076;edge
HB253;20150921;433.6554747;505.2716705;435.7202174;3.780240463;67.40146062;3837.787258;edge
HB503;20150918;721.6420356;542.5885888;350.9016955;3.805884088;67.19639892;3608.020761;edge
HC10004;20150926;628.092663;56.0729339;656.5400245;2.606301399;68.00237174;3692.73418;edge
HC1007;20150924;794.6520246;583.8491882;1017.375317;2.684746019;67.76281416;2617.529301;edge
HC251;20150924;460.1944127;416.2711932;627.0103281;2.686598213;67.76673877;1672.975273;edge
HC8006;20150927;1723.020469;75.78104924;101.4090936;2.615951874;68.05667703;3861.998176;edge
HA251;20151006;320.7301341;157.0179261;272.3801768;3.525961891;68.26734482;8576.887073;edge
HB7004;20150929;918.8387249;294.4637642;185.8459495;2.818204261;67.9404391;3347.964719;edge
HB8003;20150921;1069.847151;189.7228618;412.0550111;3.777541135;67.39296199;3894.131023;edge
HC1008;20150925;135.9339536;435.1196716;371.382491;2.738260793;67.72533311;3657.584699;edge
HC2001;20150909;155.6701612;460.3871749;885.1166182;4.110908182;66.86613444;798.9980173;edge
HC3008;20150925;100.5862912;439.1321589;248.9870127;2.741419549;67.73020765;2350.67567;edge
HA4002;20151006;479.491557;100.8550681;688.3131291;3.519986222;68.26284992;8366.593699;edge
HA502;20151006;478.2783658;238.3604103;487.5654142;3.524440034;68.26425673;7780.827219;edge
HC10005;20150926;427.0996822;138.7546841;158.751535;2.554541854;68.01446442;4530.47423;edge
HC10009;20151004;334.2809468;124.4586122;228.8353664;2.984441576;68.26283924;1786.17947;edge
HC2009;20150927;581.0827254;319.5918455;305.6948557;2.571301993;67.99025113;2806.907497;edge
HB4002;20150908;635.9973057;259.0330046;268.203965;4.05647161;66.94005187;2861.679552;edge
HC504;20150925;119.8513435;498.7630067;349.5481591;2.739996301;67.72681223;2406.906433;edge
HC4009;20150925;124.6794085;441.6353087;853.6992157;2.746031135;67.7261154;2614.1674;edge
HA6003;20151006;527.7718968;125.6887929;636.6840739;3.529331011;68.25380096;6496.296681;edge
HC8005;20150925;131.7735958;401.9963258;1053.377101;2.7515795;67.731151;1335.992799;edge
HA10002;20150922;1247.288443;603.3186962;163.1278212;3.576331146;67.25379903;3720.471217;edge
HA9001;20150921;341.9377483;68.57745888;704.4660801;3.760375999;67.44145143;4523.513971;edge
HB1004;20150923;687.0636297;349.5136719;559.5036519;2.695397369;67.82899682;3106.099661;edge
HB2004;20150918;339.0513191;364.6116992;774.739885;3.862883349;67.25607513;1397.900855;edge
HB5002;20150908;125.1043979;72.29633792;572.8073573;4.140029792;66.83736641;3142.93265;edge
HB5004;20150923;601.2568107;380.3526119;525.0359686;2.691742284;67.82488814;3326.689687;edge
HB6004;20150918;529.2109618;217.9794005;837.0802257;3.804532185;67.20159166;5181.023531;edge
HB6005;20150923;267.9915953;243.3904541;450.8966515;2.731580075;67.83042336;5281.098813;edge
HB9002;20150918;872.8609042;248.775633;544.2901823;3.866903245;67.26127235;4318.227283;edge
HB9007;20151008;954.2442341;141.8921635;7.60341854;3.967714342;66.67345109;5480.756502;edge
HC1005;20150913;1113.306618;398.2872389;1005.760063;4.304611595;66.85096387;3698.684857;edge
HC3004;20150916;1019.812481;306.4442821;363.8053975;3.771466829;67.10899022;604.8883834;edge
HC502;20150917;1580.869236;175.2303438;140.0784349;3.831353128;67.15372446;1687.393439;edge
HC6003;20150917;1936.111956;310.9304179;630.7977988;3.848010181;67.14969113;1345.571544;edge
HB6003;20150912;513.4476618;283.9967612;32.98172628;4.225912587;66.77722927;5970.132799;edge
HC503;20150925;99.36892793;679.1400213;538.5025318;2.744469835;67.73087161;2462.513032;edge
HA5002;20150922;679.1645614;355.5748045;663.8761306;3.561514876;67.26163859;2739.25549;edge
HA8002;20150922;391.0594709;175.971122;433.046185;3.562343679;67.26468132;1272.085869;edge
HC7005;20150924;1447.295396;63.02801467;34.34639978;2.686494674;67.75312752;2981.94349;edge
HC8002;20150917;2699.65387;172.4863963;361.209333;3.842177303;67.15685353;2065.024675;edge
HA6002;20150922;1076.78323;628.712793;466.7989889;3.572255253;67.25147157;4450.950338;edge
HC4002;20150913;1131.520868;184.6070177;1049.280003;4.300852193;66.8539681;4383.500584;edge
HA3001;20150922;740.4003187;466.9857218;272.8602925;3.568275864;67.24440404;3634.746943;edge
HB10002;20150923;248.5140998;171.6838346;735.3068231;2.735761071;67.82866155;6131.581272;edge
HB251;20150907;944.563892;456.6072512;176.2130713;4.04649112;66.91838702;1745.842952;edge
HB8001;20150918;466.1309653;192.8733481;407.9390247;3.885068878;67.24761902;6008.06087;edge
HC2006;20150916;1486.651762;509.5451002;438.1273403;3.769336163;67.09611541;2219.454013;edge
HC4001;20150912;1276.634429;319.4674343;1261.817477;4.303621622;66.85661311;5137.821522;edge
HC6001;20150912;1270.700131;188.7248935;1213.500973;4.303832266;66.85862176;5919.275724;edge
HC6002;20150916;1056.555427;299.3414313;658.4936044;3.765389192;67.09386599;2493.53571;edge
HB2003;20150912;734.2858873;271.1503662;9.356295636;4.230193186;66.77612338;4371.153469;edge
HC9002;20150916;947.5552067;318.98873;401.3514601;3.767862161;67.11381042;937.19896;edge
HA4001;20150922;894.1790206;560.8871756;861.9178547;3.56093585;67.25947008;4184.612882;edge
HC5001;20150909;167.4056566;420.7228894;971.8819961;4.116023835;66.86822207;3143.32871;edge
HC10001;20150924;595.6434843;9.969279587;29.81198273;2.697670292;67.75715075;4715.72868;edge
HB10003;20150929;797.8043974;233.9627428;1.616931355;2.815591138;67.9390027;4568.545084;edge
HB6008;20151008;983.4335642;169.4923627;379.4765782;3.956984105;66.66318924;4772.521446;edge
HC3005;20150916;1285.217157;452.4320341;398.7879107;3.768651556;67.09394982;1978.624405;edge
HC5003;20150916;1316.65245;297.7095841;360.3971375;3.768974003;67.10735228;1062.649553;edge
HB4007;20151005;142.2040853;339.7776578;1197.719654;2.934022283;68.38816311;5811.109858;edge
HB257;20151008;878.8628975;177.8993727;490.3714647;3.962926905;66.66589933;5273.904916;edge
HB5008;20151005;282.3232017;103.1103324;1328.408643;2.942305388;68.40133719;4731.048578;edge
HB504;20150918;316.3573999;617.2257719;658.4782746;3.814859468;67.19857898;2225.487819;edge
HC1002;20150909;134.6441721;287.0035132;881.4916454;4.112867928;66.86436465;1979.350813;edge
HC20010;20151004;200.9498267;6.715727895;1051.063599;2.990387662;68.2710073;1243.294708;edge
HC2003;20150912;1285.942283;349.0686894;1214.676645;4.302914458;66.85350235;4542.92837;edge
HC2008;20150926;748.3181198;612.1921996;339.3524534;2.590448456;67.99327676;3557.028003;edge
HC252;20150924;825.2931994;540.1228031;701.389638;2.687722349;67.75995616;2426.873295;edge
HC501;20150916;1595.236587;130.0499454;316.4968995;3.773267416;67.09941794;838.2600748;edge
HC509;20151004;167.6168145;198.3422985;1076.953861;2.99161698;68.26927836;1055.04666;edge
HC7004;20150913;987.5596243;162.2038145;763.864677;4.298198133;66.85239589;3701.666032;edge
HC9008;20150928;785.9842207;346.9318427;138.638823;2.755278959;67.95527473;3858.383858;edge
HB1008;20151008;1487.483084;375.026987;210.1452602;3.963262173;66.65918245;5818.848133;edge
HC4006;20150917;2165.191514;416.5364426;184.1275907;3.836852507;67.14725816;820.4281559;edge
HB3004;20150918;511.5670462;412.8240839;514.6598383;3.804406843;67.19836858;3824.297164;edge
HC6004;20150926;590.3747344;152.3740929;3.07880343;2.560386044;67.993921;2227.584722;edge
HB9006;20151005;275.6746463;137.977465;572.9247098;2.927635746;68.39375092;6177.675847;edge
HB10001;20150918;695.0201332;417.194815;1071.616394;3.804747057;67.20559365;5592.198037;edge
HC3003;20150913;1277.744234;324.2656825;1252.978065;4.302743656;66.85483385;4796.272173;edge
HA5001;20150921;523.0478827;288.4769162;388.6867062;3.744855978;67.43880806;5084.518729;edge
HC6007;20151004;343.935745;102.9853218;766.8293777;2.987574036;68.27729851;708.8249091;edge
HB6002;20150908;123.6115642;375.2534257;4.761015873;4.142775694;66.83169405;4107.809972;edge
HB7007;20151008;582.6319437;144.7692222;16.78884332;3.963553068;66.67248801;7009.520693;edge
HC8007;20150928;288.272815;171.7550935;329.0783523;2.732513568;67.9607705;4944.964497;edge
HC7007;20150928;303.0108385;255.8266583;651.1896208;2.733473356;67.95613591;6546.341259;edge
HB509;20151005;156.9208271;225.02908;1396.102755;2.93637738;68.39017636;5434.887224;edge
HB1001;20150907;1476.195937;314.7199921;83.78746445;4.048645848;66.94343528;3863.591348;edge
HB256;20151008;1123.861182;270.3517286;446.7615187;3.962874313;66.66299695;5408.041143;edge
EA1001;20150922;746.6992139;693.6512609;446.5317498;3.559227153;67.24598501;4008.64818;openarea
EA251;20150921;306.6406713;430.9506929;404.3903676;3.749668214;67.43960263;3245.326806;openarea
EA252;20150922;1403.841754;768.24739;594.4993756;3.564866986;67.2531831;4626.891605;openarea
EA253;20151006;204.1437068;384.0807522;1041.903492;3.526431924;68.2589894;6402.244894;openarea
EA254;20151006;136.0726551;395.4171817;756.1407162;3.525532944;68.25615934;6235.983957;openarea
EA501;20150921;238.7611107;481.2940632;1304.502996;3.756593358;67.43361084;3074.272869;openarea
EA502;20150922;705.4564457;732.6550651;565.3060271;3.570538041;67.24634832;3647.949392;openarea
EA503;20151006;513.9272257;204.5884032;455.510779;3.52462739;68.26460679;7863.084625;openarea
EB1001;20150907;1484.060352;191.1270471;714.3813733;4.039342836;66.93822223;2240.862291;openarea
EB1002;20150908;560.6725623;529.4464087;449.3911869;4.055696738;66.93175398;3815.355605;openarea
